year,deflator
2017,112.316636370291
2016,110.221569534729
2015,109.029306350592
2014,107.875746057569
2013,105.872748742528
2012,104.046814803408
2011,102.088903776159
2010,100
2009,98.8481711464496
2008,98.1003034957571
2007,96.2285317737476
2006,93.7111879401095
2005,90.9585947164884
2004,88.210876765512
2003,85.8983119952157
2002,84.3321830688458
2001,83.0190189379807
2000,81.2371428601541
1999,79.4608166381327
1998,78.3298870512429
1997,77.4580805286731
1996,76.145042222842
1995,74.7758729224715
1994,73.2401505444444
1993,71.7088940659626
1992,70.0492314431399
1991,68.4884425866826
1990,66.2480939123462
1989,63.8576871066448
1988,61.4486895587772
1987,59.3549804492382
1986,57.9228425117515
1985,56.7793652435776
1984,55.0387934365412
1983,53.1222909199939
1982,51.1200350249202
1981,48.1454999348494
1980,43.9836846888394
1979,40.3397773265572
1978,37.2493502998695
1977,34.8014727960298
1976,32.7656263306731
1975,31.0564688288318
1974,28.4236901992371
1973,26.0770936420666
1972,24.7223382343272
1971,23.6979326912573
1970,22.5546044750935
1969,21.3779278122476
1968,20.3679836933991
1967,19.5156964911776
1966,18.9194904912585
1965,18.386506390726
1964,18.0401666156467
1963,17.7728733216618
1962,17.5815185333586
