iso3c,year,debt_corp_nf_percGDP,debt_corp_f_percGDP,debt_gen_gov_percGDP,debt_hh_npish_percGDI,total_debt_percGDP,hh_resid_data,countryname
AUT,1999,92.08776,269.562,70.72529,69.298,480.909,48.53395,Austria
AUT,2000,98.47989,279.4027,71.06709,71.07132,498.9326,49.98292,Austria
AUT,2001,100.5956,286.7987,72.1219,72.51749,511.1476,51.6314000000001,Austria
AUT,2002,100.3098,279.0322,74.03432,74.31609,506.8935,53.5171800000001,Austria
AUT,2003,103.895,288.8052,72.54121,74.50166,519.788,54.54659,Austria
AUT,2004,100.8881,303.6572,71.77602,76.5183,532.0851,55.76378,Austria
AUT,2005,97.1649,325.7131,76.25182,82.3197,560.326,61.19618,Austria
AUT,2006,99.61959,336.1324,72.68636,83.68887,570.3561,61.91775,Austria
AUT,2007,105.0127,346.4466,68.96463,83.53632,581.7822,61.3582700000001,Austria
AUT,2008,106.3126,406.1955,74.19278,84.80145,647.9136,61.21272,Austria
AUT,2009,106.1709,387.4147,86.33044,84.96307,644.9657,65.04966,Austria
AUT,2010,109.2326,366.2747,90.54397,88.26816,632.2279,66.1766300000001,Austria
AUT,2011,108.7744,361.0573,91.4737,87.80938,625.4169,64.1115000000001,Austria
AUT,2012,109.7783,342.9082,97.33756,85.7231,617.379,67.3549400000001,Austria
AUT,2013,115.6194,320.7873,94.3597,85.36311,597.0458,66.2794,Austria
AUT,2014,111.3044,304.6113,101.8692,85.04741,583.7626,65.9777,Austria
AUT,2015,110.3671,289.7183,100.7969,86.63248,567.0101,66.1278,Austria
AUT,2016,112.3918,277.3842,101.3391,86.99831,560.6441,69.529,Austria
AUT,2017,112.082,270.8701,94.91287,86.65144,549.0403,71.17533,Austria
BEL,1999,132.5412,341.6056,126.6721,68.83,653.1564,52.3375,Belgium
BEL,2000,144.1487,320.9719,120.5397,66.82594,636.5498,50.8895,Belgium
BEL,2001,152.1094,334.3142,119.2406,63.05682,656.4507,50.7864999999999,Belgium
BEL,2002,150.4548,331.6361,118.4241,64.68728,653.2059,52.6909000000001,Belgium
BEL,2003,154.7542,357.788,114.8479,66.36439,678.4946,51.1045,Belgium
BEL,2004,157.1317,371.4739,110.4701,70.27449,691.8018,52.7261,Belgium
