year,hs_eci,locationcode,complexity_harv_rank_simple,complexity_harv_rank_normed,complexity_harv_rank_common
1995,-0.14528374,ABW,117,0.532110091743119,111
1996,-0.13783488,ABW,117,0.542056074766355,115
1997,-0.91616654,ABW,174,0.808411214953271,172
1998,0.45825362,ABW,70,0.322429906542056,68
1999,0.06002092,ABW,105,0.483720930232558,102
2000,0.5300322,ABW,77,0.330434782608696,65
2001,0.20506248,ABW,106,0.456521739130435,94
2002,0.0712797,ABW,118,0.508695652173913,104
2003,-0.1090892,ABW,129,0.556521739130435,115
2004,-0.21717578,ABW,138,0.595652173913044,123
2005,0.11497997,ABW,111,0.478260869565217,100
2006,0.44194448,ABW,84,0.359307359307359,72
2007,-0.03323407,ABW,124,0.532467532467532,108
2008,-0.15555036,ABW,132,0.567099567099567,116
2009,0.8184386,ABW,55,0.233766233766234,46
2010,1.2620463,ABW,25,0.103896103896104,22
2011,-0.15356517,ABW,131,0.55793991416309,114
2012,0.16714013,ABW,107,0.452991452991453,91
2013,0.4870878,ABW,84,0.353191489361702,70
2014,-0.06679219,ABW,127,0.538461538461538,110
2015,0.9498765,ABW,45,0.188034188034188,39
2016,0.7001952,ABW,66,0.277777777777778,57
1995,-0.45421115,AFG,148,0.674311926605505,142
1996,-0.33314142,AFG,132,0.61214953271028,130
1997,0.06408107,AFG,106,0.490654205607477,104
1998,-0.41548225,AFG,137,0.635514018691589,135
1999,0.029149571,AFG,108,0.497674418604651,105
2000,-0.15360323,AFG,131,0.565217391304348,117
2001,0.29074514,AFG,94,0.404347826086957,82
2002,-0.17506674,AFG,144,0.621739130434783,128
2003,-0.25468034,AFG,142,0.61304347826087,126
2004,-0.5282517,AFG,157,0.678260869565217,141
2005,-0.04039426,AFG,122,0.526086956521739,109
2006,-0.5346084,AFG,169,0.727272727272727,152
2007,-0.60266346,AFG,165,0.70995670995671,148
2008,-0.010417171,AFG,121,0.51948051948052,105
2009,0.65165937,AFG,70,0.298701298701299,60
2010,0.0058934246,AFG,125,0.536796536796537,109
2011,-0.53618395,AFG,165,0.703862660944206,145
2012,-0.4842779,AFG,160,0.67948717948718,140
2013,-0.7802908,AFG,180,0.761702127659575,158
2014,-0.756513,AFG,184,0.782051282051282,163
2015,-0.8044375,AFG,186,0.790598290598291,166
2016,-1.2484177,AFG,217,0.923076923076923,196
1995,-2.1058667,AGO,218,0.995412844036697,212
1996,-1.6691989,AGO,210,0.976635514018692,208
1997,-1.3843001,AGO,203,0.94392523364486,201
1998,-1.6833296,AGO,207,0.962616822429906,205
1999,-1.3823452,AGO,204,0.944186046511628,201
2000,-1.9111059,AGO,230,0.995652173913044,212
2001,-1.4277186,AGO,224,0.969565217391304,206
2002,-2.140729,AGO,231,1,213
2003,-1.8114558,AGO,228,0.98695652173913,211
2004,-0.8100061,AGO,184,0.795652173913044,168
2005,-1.4736406,AGO,221,0.956521739130435,204
2006,-1.8834844,AGO,228,0.982683982683983,209
2007,-1.645217,AGO,227,0.978354978354978,208
2008,-2.0344665,AGO,229,0.987012987012987,210
2009,-0.6264986,AGO,173,0.744588744588745,155
2010,-0.9163829,AGO,197,0.848484848484848,178
2011,-1.0425149,AGO,203,0.866952789699571,182
2012,-1.0759231,AGO,208,0.884615384615385,187
2013,-0.8238387,AGO,186,0.787234042553192,164
2014,-1.4564353,AGO,225,0.957264957264957,204
2015,-1.1400983,AGO,209,0.888888888888889,188
2016,-1.099318,AGO,204,0.867521367521368,183
1995,1.1426268,AIA,20,0.0871559633027523,20
1996,0.90806985,AIA,29,0.130841121495327,29
1997,1.2227675,AIA,22,0.0981308411214953,22
1998,1.0677551,AIA,27,0.121495327102804,27
1999,0.8073633,AIA,44,0.2,43
2000,1.2696667,AIA,23,0.0956521739130435,18
2001,1.1918241,AIA,31,0.130434782608696,26
2002,1.7062771,AIA,9,0.0347826086956522,9
2003,0.7873126,AIA,51,0.217391304347826,43
2004,1.3819468,AIA,16,0.0652173913043478,16
2005,1.0072323,AIA,38,0.160869565217391,33
2006,1.2144374,AIA,34,0.142857142857143,29
2007,1.3135368,AIA,24,0.0995670995670996,23
2008,1.3308148,AIA,22,0.0909090909090909,20
2009,1.4586189,AIA,19,0.0779220779220779,18
2010,1.2261562,AIA,27,0.112554112554113,24
2011,1.4783332,AIA,19,0.0772532188841202,17
2012,1.3306617,AIA,23,0.094017094017094,20
2013,1.4497598,AIA,17,0.0680851063829787,16
2014,0.9440688,AIA,45,0.188034188034188,39
2015,0.90231085,AIA,49,0.205128205128205,43
2016,1.3325919,AIA,25,0.102564102564103,23
1995,-0.480473,ALB,149,0.678899082568807,143
1996,-0.29351816,ALB,129,0.598130841121495,127
1997,-0.36934438,ALB,132,0.61214953271028,130
1998,-0.378304,ALB,131,0.607476635514019,129
1999,-0.19281788,ALB,123,0.567441860465116,120
2000,-0.11049235,ALB,127,0.547826086956522,113
2001,-0.08131399,ALB,129,0.556521739130435,115
2002,-0.08644188,ALB,138,0.595652173913044,123
2003,0.014588349,ALB,120,0.517391304347826,107
2004,-0.089511864,ALB,127,0.547826086956522,113
2005,-0.20635639,ALB,138,0.595652173913044,124
2006,-0.39524743,ALB,155,0.666666666666667,140
2007,-0.37111902,ALB,150,0.645021645021645,134
2008,-0.35206926,ALB,151,0.649350649350649,133
2009,-0.6008367,ALB,171,0.735930735930736,153
2010,-0.5942893,ALB,172,0.74025974025974,154
2011,-0.44168594,ALB,158,0.67381974248927,138
2012,-0.40659964,ALB,155,0.658119658119658,135
2013,-0.4621916,ALB,160,0.676595744680851,140
2014,-0.70013005,ALB,180,0.764957264957265,160
2015,-0.6832151,ALB,177,0.752136752136752,157
2016,-0.5166203,ALB,163,0.692307692307692,144
1995,0.8336918,AND,40,0.178899082568807,38
1996,0.85840803,AND,31,0.14018691588785,31
1997,0.9745658,AND,33,0.149532710280374,33
1998,0.9926098,AND,29,0.130841121495327,29
1999,1.0398164,AND,31,0.13953488372093,30
2000,1.1561704,AND,34,0.143478260869565,26
2001,1.0249684,AND,43,0.182608695652174,35
2002,1.03813,AND,37,0.156521739130435,32
2003,1.0304807,AND,37,0.156521739130435,32
2004,1.0958405,AND,34,0.143478260869565,31
2005,0.97341436,AND,39,0.165217391304348,34
2006,1.1314443,AND,38,0.16017316017316,33
2007,1.2055675,AND,30,0.125541125541126,28
2008,0.9957816,AND,39,0.164502164502165,34
2009,1.0476727,AND,43,0.181818181818182,36
2010,0.9488004,AND,45,0.19047619047619,37
2011,0.77141273,AND,59,0.248927038626609,50
2012,1.088686,AND,38,0.158119658119658,33
2013,1.1876776,AND,32,0.131914893617021,28
2014,0.73668796,AND,66,0.277777777777778,56
2015,1.0205833,AND,41,0.170940170940171,36
2016,1.1389182,AND,34,0.141025641025641,31
1995,0.27474317,ANT,87,0.394495412844037,
1996,0.4783286,ANT,64,0.294392523364486,
1997,0.5829676,ANT,58,0.266355140186916,
1998,0.5913093,ANT,58,0.266355140186916,
1999,0.30908272,ANT,83,0.381395348837209,
2000,0.39429745,ANT,87,0.373913043478261,
2001,0.12060336,ANT,113,0.486956521739131,
2002,0.40786913,ANT,81,0.347826086956522,
2003,0.22366007,ANT,105,0.452173913043478,
2004,0.5279528,ANT,65,0.278260869565217,
2005,-0.0653463,ANT,124,0.534782608695652,
2006,0.50205815,ANT,75,0.32034632034632,
2007,0.27411148,ANT,104,0.445887445887446,
2008,0.058664393,ANT,118,0.506493506493507,
2009,0.5329441,ANT,78,0.333333333333333,
2010,0.23138675,ANT,103,0.441558441558442,
1995,-0.18482761,ARE,118,0.536697247706422,112
1996,-0.15966631,ARE,118,0.546728971962617,116
1997,-0.18227105,ARE,118,0.546728971962617,116
1998,-0.28767368,ARE,123,0.570093457943925,121
1999,-0.059923865,ARE,116,0.534883720930233,113
2000,-0.32191756,ARE,142,0.61304347826087,127
2001,-0.2634335,ARE,140,0.604347826086957,126
2002,-0.069763534,ARE,136,0.586956521739131,121
2003,-0.08571675,ARE,128,0.552173913043478,114
2004,0.21009703,ARE,100,0.430434782608696,87
2005,0.29625672,ARE,91,0.391304347826087,80
2006,0.18488598,ARE,108,0.463203463203463,94
2007,0.14596839,ARE,109,0.467532467532468,93
2008,-0.06480914,ARE,125,0.536796536796537,109
2009,-0.089966364,ARE,129,0.554112554112554,112
2010,0.3183487,ARE,93,0.398268398268398,81
2011,0.07260478,ARE,119,0.506437768240343,102
2012,0.13736995,ARE,110,0.465811965811966,94
2013,0.34781656,ARE,94,0.395744680851064,79
2014,0.2370955,ARE,97,0.41025641025641,85
2015,0.24454246,ARE,101,0.427350427350427,85
2016,0.350693,ARE,93,0.393162393162393,80
1995,0.22564341,ARG,92,0.41743119266055,86
1996,0.12990372,ARG,92,0.425233644859813,90
1997,0.26286158,ARG,86,0.397196261682243,84
1998,0.2795466,ARG,86,0.397196261682243,84
1999,0.38363957,ARG,76,0.348837209302326,74
2000,0.40231216,ARG,86,0.369565217391304,74
2001,0.27849087,ARG,96,0.41304347826087,84
2002,0.19325607,ARG,108,0.465217391304348,94
2003,0.20803168,ARG,108,0.465217391304348,95
2004,0.20245948,ARG,101,0.434782608695652,88
2005,0.26512763,ARG,96,0.41304347826087,85
2006,0.25345352,ARG,99,0.424242424242424,86
2007,0.07515859,ARG,116,0.497835497835498,100
2008,0.19505101,ARG,108,0.463203463203463,93
2009,0.18681489,ARG,107,0.458874458874459,92
2010,0.2147729,ARG,106,0.454545454545455,91
2011,0.18878208,ARG,104,0.44206008583691,88
2012,0.1158581,ARG,115,0.487179487179487,98
2013,0.10150547,ARG,112,0.472340425531915,95
2014,0.08557492,ARG,112,0.474358974358974,98
2015,0.00700755,ARG,124,0.525641025641026,106
2016,-0.20412423,ARG,139,0.58974358974359,121
1995,0.5445986,ARM,57,0.256880733944954,53
1996,0.6401738,ARM,50,0.228971962616822,49
1997,1.0602957,ARM,30,0.135514018691589,30
1998,0.85008806,ARM,42,0.191588785046729,42
1999,0.5370463,ARM,58,0.265116279069767,56
2000,0.8068806,ARM,57,0.243478260869565,47
2001,0.7054173,ARM,61,0.260869565217391,53
2002,0.5307821,ARM,66,0.282608695652174,57
2003,0.28916553,ARM,94,0.404347826086957,83
2004,0.5801798,ARM,61,0.260869565217391,52
2005,0.4294258,ARM,78,0.334782608695652,68
2006,0.20152964,ARM,104,0.445887445887446,90
2007,0.6469769,ARM,70,0.298701298701299,60
2008,0.42455745,ARM,87,0.372294372294372,75
2009,0.1883082,ARM,106,0.454545454545455,91
2010,0.22801006,ARM,104,0.445887445887446,90
2011,0.51171887,ARM,77,0.32618025751073,66
2012,0.4479366,ARM,84,0.354700854700855,71
2013,0.108209625,ARM,109,0.459574468085106,92
2014,0.00086573325,ARM,119,0.504273504273504,103
2015,0.070095755,ARM,119,0.504273504273504,101
2016,0.008851078,ARM,126,0.534188034188034,109
1995,-0.6433289,ATF,159,0.724770642201835,153
1996,0.5463084,ATF,57,0.261682242990654,56
1997,0.73138076,ATF,47,0.214953271028037,47
1998,-0.115479484,ATF,113,0.523364485981308,111
1999,1.6566802,ATF,11,0.0465116279069768,11
2000,1.2891374,ATF,22,0.091304347826087,17
2001,1.1373032,ATF,35,0.147826086956522,29
2002,0.87755233,ATF,47,0.2,41
2003,0.8595124,ATF,47,0.2,39
2004,0.8108189,ATF,49,0.208695652173913,42
2005,0.1422434,ATF,107,0.460869565217391,96
2006,0.8831051,ATF,53,0.225108225108225,46
2007,0.6412032,ATF,71,0.303030303030303,61
2008,0.008179856,ATF,120,0.515151515151515,104
2009,-0.0798796,ATF,128,0.54978354978355,111
2010,0.6577387,ATF,71,0.303030303030303,61
2011,1.0498322,ATF,41,0.171673819742489,34
2012,0.87003076,ATF,56,0.235042735042735,48
2013,0.574145,ATF,76,0.319148936170213,63
2014,0.7677063,ATF,60,0.252136752136752,50
2015,0.8724517,ATF,55,0.230769230769231,48
2016,0.6075582,ATF,73,0.307692307692308,62
1995,-0.05904445,ATG,113,0.513761467889908,107
1996,0.45871317,ATG,66,0.303738317757009,64
1997,0.4335862,ATG,67,0.308411214953271,65
1998,0.35099125,ATG,77,0.355140186915888,75
1999,0.25650522,ATG,88,0.404651162790698,85
2000,0.18038549,ATG,104,0.447826086956522,91
2001,0.09630239,ATG,118,0.508695652173913,105
2002,0.88181925,ATG,46,0.195652173913043,40
2003,0.2325022,ATG,102,0.439130434782609,91
2004,0.18839818,ATG,103,0.443478260869565,90
